事業所名,事業種別,事業内容,事業所所在地,電話番号,PR,adress,lon,lat
しゅうらく （株）くらや,小売業,呉服 販売,矢部1-14-9,042-755-6030,10% 割引,神奈川県相模原市中央区矢部1-14-9,139.3795654,35.5753324
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
スグロ薬局,小売業,"処方せんの調剤、化粧品の販売、一般用医薬品・漢
方・サプリメントの販売",矢部3-18-35,042-755-2442,化粧品の購入でプレゼントキャンペーン実施します。,神奈川県相模原市中央区矢部3-18-35,139.3861485,35.5728335
砂川畳店,その他,畳屋です,矢部1-18-17,042-752-2280,地元で３代続く畳屋です。,神奈川県相模原市中央区矢部1-18-17,139.3807795,35.5750506
セ・ラ・セゾン！相模原本店,小売業,洋菓子の製造、販売,矢部1-14-8,042-769-7355,NA,神奈川県相模原市中央区矢部1-14-8,139.3794033,35.5753128
セブンイレブン相模原矢部1丁目店,小売業,NA,矢部1-18-21,042-757-2272,NA,神奈川県相模原市中央区矢部1-18-21,139.380221,35.5754325
セブンイレブン相模原矢部店,小売業,NA,矢部3-4-6,042-711-7580,NA,神奈川県相模原市中央区矢部3-4-6,139.3853606,35.5722404
ソレアド,飲食業,"本格パエリアとフラメンコが楽しめるスペイン料理店。
テイクアウトできるパエリア弁当も好評販売中です!!",矢部3-5-7,042-752-3513,"【20%OFF(平日ディナータイム限定)】のチケットをプレ
ゼント!!",神奈川県相模原市中央区矢部3-5-7,139.3851191,35.5717256
ダイヤ・ドライセンター矢部駅前店,サービス業,クリーニング店です。衣類のお直しも承っております。 矢部3丁目18-1,NA,042-755-7940,NA,神奈川県相模原市中央区NA,139.3754694,35.5559466
（有）髙梨商店,その他,ガラス、アルミサッシ等の販売工事,矢部1-11-18,042-752-1821,NA,神奈川県相模原市中央区矢部1-11-18,139.3776768,35.5740342
ちから米穀,小売業/その他,米穀類（玄米・白米・穀物）の卸、小売り,矢部1-4-16,042-810-6939,"産地直送の玄米をその場で精米し香り豊かなままお
渡し致します。 
また業務用米も安定した品質で安価で使いやすいお
米からJAS有機米など無農薬の特栽米まで産地卸価
格にて販売致しております。",神奈川県相模原市中央区矢部1-4-16,139.3766793,35.57420570000001
中国料理 紅蘭,飲食業,飲食店,矢部2-9-1,042-755-6302,NA,神奈川県相模原市中央区矢部2-9-1,139.3802556,35.5731422
トレーニングスペースYABELABO,サービス業,おひとり様専用のトレーニングスペースです。,矢部4-21-3 1F,042-707-9307,"おひとり様専用のトレーニングスペースです。
他の人の目線や感染症へのお気遣いなく、
ご自身のペースでご利用いただけます。",神奈川県相模原市中央区矢部4-21-3 1F,139.3903671,35.5708852
野原の落花生,小売業,落花生製造販売。,矢部3-18-3,042-752-1451,3000円以上お買い上げの方に粗品進呈。,神奈川県相模原市中央区矢部3-18-3,139.386558,35.5729064
鍼とお灸りずむ,サービス業,鍼とお灸の治療院,矢部3-1-23,042-813-6699,NA,神奈川県相模原市中央区矢部3-1-23,139.3854173,35.5732877
はんこの美晶堂 西門本店,小売業,"ゴム印・実印・銀行印・会社印・名刺印刷・シャチハタ
等",矢部1-4-14,042-752-8242,NA,神奈川県相模原市中央区矢部1-4-14,139.3765751,35.5739649
美容室 SUIT スータ,サービス業,美容室,矢部3-18-4,042-759-4045,NA,神奈川県相模原市中央区矢部3-18-4,139.3866374,35.5728792
フラワーショップ フローレンスドゥ,小売業,"生花、園芸、プリザーブドフラワー、ソープフラワー、ギ
フト商品を扱う花屋です",矢部2-9-2,042-756-3736,NA,神奈川県相模原市中央区矢部2-9-2,139.380229,35.5730496
ヘアーサロン ムラセ,サービス業,理容室,矢部2-7-33,042-753-0324,NA,神奈川県相模原市中央区矢部2-7-33,139.3805877,35.5735418
ヘアサロン emick,サービス業,"髪の毛をカットしたりカラーリングしたり、パーマで形を
変えます。",矢部4-18-9 コーポGEF 102,042-866-5546,"矢部駅・淵野辺駅から徒歩５分☆コロナ対策★駅近だ
から通いやすいのが嬉しい◎カウンセリングを得意と
し、お客様のご要望をじっくりお聞きし、髪質や骨格を
見極めて一人ひとりに似合ったスタイルをご提案いた
します",神奈川県相模原市中央区矢部4-18-9 コーポGEF 102,139.3885816,35.5699818
ほぐし処 animo,サービス業,整体、リラクゼーションサロン,矢部4-17-3,042-704-8088,NA,神奈川県相模原市中央区矢部4-17-3,139.3896132,35.5698635
マルエスサイクル,小売業,自転車小売、修理、預かり,矢部3-18-7,042-754-3114,NA,神奈川県相模原市中央区矢部3-18-7,139.3870341,35.5725033
モミジヤ金物店,小売業,"金物から清掃用品まで幅広く販売しています。 
職人さんの研ぐ包丁は良く切れると評判です。",矢部3-1-14,042-755-8441,"期間中1000円お買い上げで厚手のポリ袋10枚入り1
袋　 
サービス致します。",神奈川県相模原市中央区矢部3-1-14,139.3858835,35.573289
（株）八木商店 矢部給油所,小売業,"燃料油の給油、洗車、自動車の修理等行う
フルサービス形式のガソリンスタンドです。",矢部2-3-23,042-752-5196,ＥＮＥＯＳ　ＳＳアプリ登録キャンペーン展開中,神奈川県相模原市中央区矢部2-3-23,139.382426,35.5741297
焼肉八宝亭,飲食業,"和牛焼肉、カルビ、ロース、牛タン塩、生ビール等、や
まゆりポーク等",矢部3-9-16,042-756-8565,お食事のお客様にアイスクリームサービス,神奈川県相模原市中央区矢部3-9-16,139.3831856,35.569009200000004
矢部駅前ひばり整骨院・鍼灸院,その他,"整骨院・鍼灸院
身体のお悩みや症状に合わせてメニューをご提案しま
す。
・肩や腰の痛み・首や膝、関節の痛み
・スポーツの怪我・リハビリ・捻挫
・整体（部分・全身）
・パーソナルトレーニング",矢部3-1-19エトワール藤1F,042-707-8925,お得な回数券もご用意しております。,神奈川県相模原市中央区矢部3-1-19エトワール藤1F,139.3859629,35.57292760000001
矢部酒場(矢部店),飲食業,居酒屋,矢部3-18-1,042-769-5568,"ネット予約のお客さん限定
・記念日や誕生日にメッセージ付きプレートプレゼント
・乾杯スパークリングワインボトルプレゼント",神奈川県相模原市中央区矢部3-18-1,139.3861761,35.5729559
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
リラク ビューティー スータ (SUIT),サービス業,美容室,矢部3-18-4 2F,042-707-8661,NA,神奈川県相模原市中央区矢部3-18-4 2F,139.3866374,35.5728792
ワミレスサロン矢部ルミエール,サービス業,"フェイシャルエステサロンです。
メイクアップなども行っています。
化粧品、メイク用品も販売しています。",矢部3-5-5グレイスレジデンス小林203,042-712-1107,"初めての方限定、お試し価格2200円で施術を体験で
きます。
※次回使えるスペシャルパックチケット付き",神奈川県相模原市中央区矢部3-5-5グレイスレジデンス小林203,139.3848718,35.5718943
AKランドリースギ薬局陽光台店,サービス業,クリーニング,陽光台2-1-3,042-758-6332,30円券1枚プレゼント,神奈川県相模原市中央区陽光台2-1-3,139.3693265,35.5574696
AKランドリー光が丘大通り店,サービス業,"迅速、丁寧なクリーニング店です。 
集配も大好評です。お気軽にお電話ください♪",陽光台4-7-6,042-754-4165,"お得な曜日別セールを開催中です。 
詳しくは店頭ポスターをご覧下さい。",神奈川県相模原市中央区陽光台4-7-6,139.3765702,35.5533422
Bar 507,飲食業,"住宅街にある小さなバーです。ウィスキーにカクテル、
またお酒に合うフードもございます。お客様にピッタリ
なお酒を探してみませんか？",陽光台5-5-8,042-815-0507,"39キャンペーンご利用のお客様にはファーストドリンク
をサービスいたします。",神奈川県相模原市中央区陽光台5-5-8,139.377671,35.5499501
ECCジュニア陽光台教室,その他,教育,陽光台6-6-4,042-751-2827,NA,神奈川県相模原市中央区陽光台6-6-4,139.3761636,35.5477278
piccina ピッチーナ,小売業,子供服、バレエ用品販売,陽光台4-7-5-2,042-707-4312,セール品￥500円からあります♪,神奈川県相模原市中央区陽光台4-7-5-2,139.3764313,35.5533037
居酒屋 山鹿喜,飲食業,"鮮魚のお刺身や焼き鳥をメインに、各種地酒、乙類焼
酎、ウィスキーなど多数取り揃えております。",陽光台2-15-9,042-769-5334,NA,神奈川県相模原市中央区陽光台2-15-9,139.3751322,35.5562213
一友ビルドテック（株）,その他,塗装・防水工事業,陽光台2-3-11,042-754-9553,"見積無料、HPにて季節ごとにキャンペーン実施してい
ます",神奈川県相模原市中央区陽光台2-3-11,139.3741898,35.5579808
羽前屋,飲食業,やきとり、一品料理、アルコール類各種,陽光台4-36-16,042-756-1772,NA,神奈川県相模原市中央区陽光台4-36-16,139.3776314,35.5514374
"（有）香川タイヤ商会 ミスタータイヤマンカガ
ワ",小売業,自動車用タイヤ販売・修理,陽光台1-3-9,042-752-3859,先着御購入10組様　クオカード(500円)　１枚贈呈,神奈川県相模原市中央区陽光台1-3-9,139.3684582,35.5575834
クラージュAQURA,サービス業,"カット、パーマ、ヘアカラー、着付
様々なご要望に親切に対応致します。",陽光台5-3-18,042-769-5350,前日予約で10% OFF,神奈川県相模原市中央区陽光台5-3-18,139.3778056,35.5510111
健美ハウスオノドウ,小売業,医薬品（漢方）化粧品販売　エステ,陽光台4-8-17,042-753-6391,NA,神奈川県相模原市中央区陽光台4-8-17,139.3766864,35.5530231
サガミ堂,小売業,おもちゃとホビーの専門店,陽光台3-6-7,042-754-8317,NA,神奈川県相模原市中央区陽光台3-6-7,139.3756998,35.5548
しぶや動物病院,その他,動物病院,陽光台2-2-1,042-704-0227,NA,神奈川県相模原市中央区陽光台2-2-1,139.370967,35.5574298
セブンイレブン相模原陽光台2丁目店,小売業,接客をメインでやっています,陽光台2-1-10,042-753-5071,NA,神奈川県相模原市中央区陽光台2-1-10,139.3703857,35.5574986
（株）第一オート,"小売業/サービス
業",自動車販売,陽光台2－1－12,042-755-8484,NA,神奈川県相模原市中央区陽光台2－1－12,139.3701168,35.557463
高木秀剛税理士事務所,サービス業,税理士事務所,陽光台2-1-26,042-758-3615,初回のご相談無料,神奈川県相模原市中央区陽光台2-1-26,139.368954,35.5571405
チャリティショップ楽来 陽光台店,小売業,"近隣の方からいただいた寄付品を販売しているチャリ
ティショップです。",陽光台7-10-7,042-711-8919,"陽光台店は特に衣料品の品揃えが豊富で、欲しい衣
服が探しやすいレイアウトになっています。不定期で
行われるセールは地域のお客様にご好評いただいて
います。",神奈川県相模原市中央区陽光台7-10-7,139.3814002,35.5445905
八剣伝 相模原星が丘店,飲食業,炭火焼と創作料理,陽光台2-3-2 ソレアード陽光台1階,042-730-3181,NA,神奈川県相模原市中央区陽光台2-3-2 ソレアード陽光台1階,139.3727521,35.5575817
（株）ビムス,その他,建築リフォーム,陽光台1-2-24,042-730-3200,オリジナルエコバッグをプレゼント,神奈川県相模原市中央区陽光台1-2-24,139.3652554,35.55733000000001
（有）ファミリーストアー オカベ,小売業,"青果、食料品、飲料品、お酒、日用雑貨を販売してい
ます。",陽光台2－21－15,042-753-2818,NA,神奈川県相模原市中央区陽光台2－21－15,139.3692734,35.5552472
ファミリーマート相模原陽光台五丁目店,小売業,コンビニストア,陽光台5-4-7,042-730-5020,NA,神奈川県相模原市中央区陽光台5-4-7,139.3778405,35.5505031
星ヶ丘メガネ,小売業,眼鏡・コンタクトレンズ販売,陽光台1-3-5,042-776-7233,NA,神奈川県相模原市中央区陽光台1-3-5,139.3678068,35.5574613
（株）ミギタ室内工業,その他,"相模原で創業昭和４４年の、畳から総合インテリアの
住宅リフォーム工事店です。自社スタッフによる施工で
安心安全にお部屋をキレイにします。",陽光台2-12-18,042-753-2808,見積りは無料です。お気軽にお問合せください。,神奈川県相模原市中央区陽光台2-12-18,139.369789,35.5562604
名代 宇奈とと 相模原店,飲食業,早い・安井・旨い、炭焼きのふっくら鰻,陽光台2-3-2 ソレアード陽光台1階,042-730-3181,NA,神奈川県相模原市中央区陽光台2-3-2 ソレアード陽光台1階,139.3727521,35.5575817
やきとり香,飲食業,やきとりのテイクアウト,陽光台4-7-5-3,042-812-6082,NA,神奈川県相模原市中央区陽光台4-7-5-3,139.3764908,35.55331
矢島建設株式会社,その他,新築工事、リフォーム工事、外壁塗装、外構工事、他,陽光台2-3-9,042-784-0239,"期間中に工事の依頼をされ方には、ドローンによる 屋
根、外壁の点検を無料で行います。",神奈川県相模原市中央区陽光台2-3-9,139.373928,35.5578572
陽光台グランベッツ動物病院,その他,動物病院,陽光台3-5-4,042-851-3751,NA,神奈川県相模原市中央区陽光台3-5-4,139.3752714,35.55563920000001
ラーメン創作麺処 めん坊,飲食業,"一品料理など、メニュー豊富な
ラーメン屋ですっっっ。",陽光台5-19-17,042-758-5866,"2020さかみはらぁ麺グランプリで
グランプリを頂きました。
一品料理などメニュー豊富な
ラーメン屋ですっっっ。",神奈川県相模原市中央区陽光台5-19-17,139.3786239,35.54930969999999
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
レインボー相模原店,小売業,オートバイ販売・修理,陽光台4-24-3,042-755-4116,NA,神奈川県相模原市中央区陽光台4-24-3,139.3772644,35.5519417
auショップ相模原,小売業,"au/UQの携帯電話の販売や料金プラン相談、故障相
談などアフターフォローまで行っております。インター
ネット（auひかり）のお申し込みも頂けます。",横山1-1-1ノジマ相模原本店3階,042-751-5007,"ノジマ相模原本店の3階にあります。 
au/UQの携帯電話の販売や料金プラン相談、故障相
談などアフターフォローまで行っております。インター
ネット（auひかり）のお申し込みも頂けます。",神奈川県相模原市中央区横山1-1-1ノジマ相模原本店3階,139.3631731,35.5702073
安心らくらく福祉タクシー,その他,介護・福祉タクシー,横山3-10-16,080-9388-6969,"安心らくらくに、通院、お買物
公園さんぽ、冠婚葬祭などのご利用できます。",神奈川県相模原市中央区横山3-10-16,139.3650967,35.5646372
ヴォートエスパース,サービス業,パーマ、カラー、カット、ヘアートリートメントなど,横山4-1-1ワークスビル102,0120-972-137,"新規メール会員のお客様、施術料金より10%割引に
なります",神奈川県相模原市中央区横山4-1-1ワークスビル102,139.3618048,35.5687393
菓子工房くろさわ,小売業,"横山の住宅街にある和菓子屋です。 
すべての商品を当店で製造し、材料にはこだわりを持
ち、お客様に安心して食べていただけるように心掛け
ております。",横山3-33-1,042-752-3291,"当店Instagramのアカウントにて、お菓子などの紹介
をしています！",神奈川県相模原市中央区横山3-33-1,139.3675932,35.5629572
か印 横山商店。,飲食業,NA,横山3-31-3小野ビル1F,042-776-9489,NA,神奈川県相模原市中央区横山3-31-3小野ビル1F,139.3692713,35.5649096
カフェ&ギャラリー花門 -KAMON-,"飲食業/サービス
業",NA,横山5-5-1,042-753-4435,NA,神奈川県相模原市中央区横山5-5-1,139.3622808,35.56399469999999
からあげ金と銀　相模原横山店,飲食業,"関西発のテイクアウトからあげ専門店です。 
揚げたてのからあげとお弁当を販売しております。",横山4‐23‐20　メゾン村山101,050-3483-1283,"からあげグランプリ3年連続金賞受賞！ 
くいだおれの町、なにわで生まれた唐揚げ専門店で
す。 
外はカリッと中はジューシー、秘伝の醤油だれでしっ
かりと味をつけた当店自慢の唐揚げを一度ご賞味くだ
さい♪",神奈川県相模原市中央区横山4‐23‐20　メゾン村山101,139.3610513,35.5661433
元祖ニュータンタンメン本舗相模原店,飲食業,"川崎発祥の『ニュータンタンメン』と焼肉やその他料
理、飲み物等を販売提供しているお店です。
店内はもちろんテイクアウトの販売も行っています。",横山4-25-1,042-707-4929,ご来店時ソフトドリンクのワンドリンクサービス,神奈川県相模原市中央区横山4-25-1,139.3610047,35.5677909
気まま屋いち,飲食業,全国の地酒と家庭料理を提供する居酒屋です。,横山3-21-12,042-752-8090,NA,神奈川県相模原市中央区横山3-21-12,139.3661523,35.5639185
クシタニ相模原店,小売業,オートバイ用品販売,横山4-1-19フィードス山栄101,042-751-2819,NA,神奈川県相模原市中央区横山4-1-19フィードス山栄101,139.3614801,35.5682439
司法書士井口学事務所,その他,相続登記、遺言、成年後見など司法書士業,横山3-17-2,042-751-4560,各種相談・事前見積は無料です。,神奈川県相模原市中央区横山3-17-2,139.3672385,35.5660793
セオサイクル相模原中央店,"小売業/サービス
業",自転車販売・修理,横山3-31-1,042-707-9710,"セオサイクルは、千葉・埼玉・東京・神奈川と首都圏を
中心に130店舗以上を展開している自転車専門店で
す。",神奈川県相模原市中央区横山3-31-1,139.3691438,35.5651022
セブンイレブン相模原横山3丁目店,小売業,コンビニエンスストア,横山3-32-6,042-769-3291,NA,神奈川県相模原市中央区横山3-32-6,139.3682226,35.5634662
ダイエットビューティーショップ Angel,サービス業,"美と健康をかなえるこだわりのアイテム取り揃えてい
ます。乗るだけ、入るだけ手軽にダイエットビューティ
習慣のサポートをしています。",横山2-16-4,042-718-6561,"NASA開発音波振動運動マシン
10分で9キロのランニング相当の有酸素運動効果
通常2200円→500円で受けられます。",神奈川県相模原市中央区横山2-16-4,139.3699767,35.5659458
たけみや,小売業,"化粧品小売　　
エステティック　リフレクソロジー施術",横山3-1-1,042-755-8415,"ソニックエステを体験していただくコース
初回限定コース
料金 ￥1,100(税込)
事前予約が必要です。",神奈川県相模原市中央区横山3-1-1,139.3657095,35.5666757
小さな家族葬ハウスⓇ上溝,サービス業,創業109年！老舗の専門葬儀社です。,横山6-8-23,012-017-7166,"相模原市を中心に会員数9万人！ 
あんしん倶楽部新規入会受付中！ 
ご相談だけでもお気軽にお声掛けください！",神奈川県相模原市中央区横山6-8-23,139.3645811,35.5588813
てるて接骨院鍼灸院,その他,"骨盤調整や猫背ストレッチ等の姿勢改善やギックリ
腰、交通事故のケガのケアを行なっています。",横山4-24-10,042-768-7933,"骨盤調整など健康保険外メニューの初回お試し料金
あります。",神奈川県相模原市中央区横山4-24-10,139.3610468,35.5669184
電化社,小売業,家庭電化製品販売　修理　工事,横山4-24-12,042-755-6895,来店時ワンドリンクサ－ビス,神奈川県相模原市中央区横山4-24-12,139.3610336,35.5672369
ドローンラウンジジュピター,飲食業/その他,"ドローンスクールと併設カフェ 
ドローンの民間ライセンスを発行しています",横山2-15-9,042-707-9900,"市役所通り沿いのドローンスクール 
最短2日でドローン民間ライセンスの取得が可能 
併設カフェではハンバーグやカレーなどお食事を楽し
んでいただけます 
相模原産のクラフトビールも人気",神奈川県相模原市中央区横山2-15-9,139.3705506,35.5666903
中村書店本店,小売業,"相模原市中央区で最大規模の書店です。 タッチパネ
ル検索機において店内在庫の検索もできます。オンラ
イン書店e-honにて注文し、店舗にてお支払い受取も
出来ます。",横山6-8-21,042-750-2285,"サンキューキャッシュバックキャンペーンのご利用でも
共通ポイント(dポイント、楽天ポイント、ポンタポイント
のいずれか1つ)が加算されます。",神奈川県相模原市中央区横山6-8-21,139.3647906,35.5590687
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
相模防犯ナビ,サービス業,防犯診断、防犯カメラの販売・施工,上溝３－１－７,080-2110-3959,防犯診断、防犯カメラ設置に伴うお見積り無料！,神奈川県相模原市中央区上溝３－１－７,139.3522079,35.5604049
相模物産 株式会社,小売業,NA,上溝1878,042-755-3521,NA,神奈川県相模原市中央区上溝1878,139.363719,35.5517073
佐藤金物店,小売業,金物小売業,上溝5-2-12,042-762-0017,期間中、溝のスタンプ２倍,神奈川県相模原市中央区上溝5-2-12,139.3578476,35.5568767
清水時計店,"小売業/サービス
業",時計、宝飾品販売、修理,上溝6-2-1,042-762-3625,溝のスタンプ加盟店,神奈川県相模原市中央区上溝6-2-1,139.3573593,35.5569991
（有）清水屋商店,小売業,建設資材等の販売,上溝1884-1,042-769-2400,"職人さんから日曜大工さんまで色々あります。
まずはご相談下さい。
よろしくお願いします。",神奈川県相模原市中央区上溝1884-1,139.3626787,35.5526633
JOINT JAPAN,小売業,"自動車販売、修理、キャンピングカーレンタルをおして
おります",上溝2346-18,042-764-5056,"新車、中古車の販売、各種修理、事故鈑金、自動車
のことなら何でもご相談に乗ります！ 
キャンピングカーのレンタルも格安でお出ししておりま
すので、是非ご利用下さい。",神奈川県相模原市中央区上溝2346-18,139.3567282,35.5470913
食事処おしゃまんべ,飲食業,北海道の食材を使用した定食屋です。,上溝1793-2,042-757-5182,NA,神奈川県相模原市中央区上溝1793-2,139.3627765,35.5530849
寝具のサトウ,小売業,"羽毛ふとんのリフォーム
綿ふとんのリフォームを行なっています。西川のムア
ツふとん 手造りふとん
各種寝具用品販売。",上溝3840,042-762-1289,"羽毛布団お買い上げ、羽毛布団リフォームのお客様
に掛けカバー20%引き致します。",神奈川県相模原市中央区上溝3840,139.3510946,35.5560377
杉山本店,小売業,良い材料を使用した和菓子を販売しています。,上溝7-16-11,042-762-0369,"当店は。良い材料を使用した和菓子を販売しています
本わらび餅『本わらび粉、砂糖、水のみを使用』
選和菓子職の資格を持つ職人が作る、季節の上生菓
子等も販売しています。誕生餅や赤飯などご予約承り
ます",神奈川県相模原市中央区上溝7-16-11,139.3608629,35.5572374
スナック 泣かす,飲食業,"飲み会の2次会に是非ご利用ください！カラオケもあり
ます！",上溝4-9-18,042-713-3288,NA,神奈川県相模原市中央区上溝4-9-18,139.3551796,35.5590037
スワン美容室,サービス業,相模原市で創業73年。地域密着の美容室です。,上溝2365番地7,042-762-5333,"サンキューキャンペーン！と言っていただくと炭酸スパ
を無料サービス。",神奈川県相模原市中央区上溝2365番地7,139.3571387,35.5496282
誠心堂,小売業,文房具、タバコ、切手、はんこを販売しています,上溝5-14-1,042-761-1710,NA,神奈川県相模原市中央区上溝5-14-1,139.362646,35.5581074
セブンレブン相模原上溝１丁目店,小売業,近くて便利なコンビニエンスストアです,上溝1-2-9,042-763-6461,NA,神奈川県相模原市中央区上溝1-2-9,139.3498089,35.5650519
セブンイレブン相模原上溝3丁目店,小売業,NA,上溝3-6-41,042-762-7785,NA,神奈川県相模原市中央区上溝3-6-41,139.3533354,35.5601659
セブンイレブン相模原上溝6丁目店,小売業,コンビニエンスストア,上溝6-1-29,042-763-2707,NA,神奈川県相模原市中央区上溝6-1-29,139.3563906,35.5575819
セブンイレブン相模原上溝諏訪店,小売業,NA,上溝833-9,042-778-3666,NA,神奈川県相模原市中央区上溝833-9,139.3692601,35.5374326
セブンイレブン相模原上溝バイパス店,小売業,コンビニエンスストア,上溝2308-1,042-762-0181,NA,神奈川県相模原市中央区上溝2308-1,139.3576295,35.5468055
第一薬局,小売業,"医薬品、漢方薬、ｷﾖｰﾚｵﾋﾟﾝ、渡辺ｵｲｽﾀｰ、ﾊﾞｲｵﾘﾝｸ
等扱っております。
元氣創造、家族の健康を創ります。",上溝5-3-13,042-762-0309,クレジットカード、paypay等、使用可,神奈川県相模原市中央区上溝5-3-13,139.3589736,35.5570808
大星堂薬局,小売業,"漢方薬、ｷﾖｰﾚｵﾋﾟﾝ、瓊玉膏、ﾊﾞｲｵﾘﾝｸ等扱っておりま
す。
あなたの健康人生をお手伝いします。",上溝5-1-22,042-762-0006,"創業明治二年
症状をお聞きし、お客様にあったお薬をお出ししてい
ます。
各種クレジットカードもお使いいただけます。",神奈川県相模原市中央区上溝5-1-22,139.357261,35.557531
タイヤセンター JEI,小売業,タイヤ販売、交換作業,上溝2252-1,042-764-3560,NA,神奈川県相模原市中央区上溝2252-1,139.3592103,35.5442296
タイヨー印刷（株）,サービス業,印刷業,上溝4-9-10,042-762-2157,印刷の事なら何でもご相談ください。,神奈川県相模原市中央区上溝4-9-10,139.3561692,35.5583353
髙橋茶店,小売業,お茶、急須等販売しています。,上溝5-3-5,042-762-3560,NA,神奈川県相模原市中央区上溝5-3-5,139.3601292,35.5572974
（有）田中屋酒店,小売業,NA,上溝7-4-19,042-762-0243,NA,神奈川県相模原市中央区上溝7-4-19,139.3590782,35.5546502
（株）旅フレンド本社営業所,サービス業,"国内、海外旅行の企画販売、個人、団体、JR、航空券
などの手配等",上溝7-39-11,042-762-7765,NA,神奈川県相模原市中央区上溝7-39-11,139.3600518,35.5513807
中国料理霞苑,飲食業,中華料理,上溝3-20-24戸田ビル1F,042-760-8186,NA,神奈川県相模原市中央区上溝3-20-24戸田ビル1F,139.3553929,35.5584036
腸もみ・養生サロン ミルネイジュ,サービス業,"腸もみ・生活養生で笑顔をサポートするサロンです。 
 腸活サプリ、薬膳茶も扱っています。 
 お腹の不調を整えることから、明るい毎日が始まりま
す。",上溝442-3,090-4533-5165,"・ご来店、メルマガ登録の方に腸活サプリ5日分プレゼ
ント｡",神奈川県相模原市中央区上溝442-3,139.3627765,35.5530849
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
ノジマ相模原本店,小売業,"家電商品や携帯電話などを主の販売接客していま
す。",横山1-1-1,042-753-1516,"ノジマモバイル会員にご加入いただきますと、色々な
特典がお受け取りいただけます。",神奈川県相模原市中央区横山1-1-1,139.3631618,35.5702595
バディーヘアー,サービス業,"カット.パーマ.カラー.ヘッドスパなどオプションメニュー 
が多いい人気店です。",横山4-23-20メゾン村山103,042-751-7578,"新規来店で10％OFF！ 
メンバーズカードお得がたまる！",神奈川県相模原市中央区横山4-23-20メゾン村山103,139.3610513,35.5661433
は満寿司,飲食業,寿司・魚介料理,横山6-8-17,042-754-9448,NA,神奈川県相模原市中央区横山6-8-17,139.3651989,35.5593807
鍼灸マッサージ院Monet,"サービス業/その
他",女性専門の鍼灸マッサージをやっています。,横山3-25-43,090-8465-8104,"自宅サロンで女性専門の鍼灸マッサージ(治療や美容
鍼)をやっています。
新規のお客様には【初回割引】実施中！
鍼・灸・マッサージが気になる方、お待ちしています。",神奈川県相模原市中央区横山3-25-43,139.3662569,35.5635427
パンドクルー,飲食業,パンの製造販売を行っております,横山2-6-3,042-753-7920,"○LINE新規登録特典有り
○毎週水曜日はお買い上げ100円毎に10円分の金券
をプレゼント",神奈川県相模原市中央区横山2-6-3,139.3678344,35.568221
美容館美人,サービス業,"美容室
美容一般",横山3-31-7,042-758-5957,NA,神奈川県相模原市中央区横山3-31-7,139.3689493,35.5644781
フットスタンプ,"小売業/サービス
業",ペット美容室,横山1-2-1,042-750-1185,トリミング後、５０日以内5%off,神奈川県相模原市中央区横山1-2-1,139.362575,35.5697611
フレキシブルオフィスジュピター,その他,コワーキングスペース,横山2-15-8,042-707-7378,"市役所通り沿いのコワーキングスペースです 
Wi-Fi完備 
ドリンク有り 
バリアフリー",神奈川県相模原市中央区横山2-15-8,139.3702134,35.566285
ヘアーショップ ビーポイント,サービス業,美容室,横山6-1-12,042-753-9197,NA,神奈川県相模原市中央区横山6-1-12,139.3655429,35.5626803
（有）升屋酒店,小売業,お酒、お米、タバコの販売,横山3-21-12,042-752-8090,NA,神奈川県相模原市中央区横山3-21-12,139.3661523,35.5639185
焼肉ダイニング牛若,飲食業,焼肉店,横山2-10-8,042-750-0589,NA,神奈川県相模原市中央区横山2-10-8,139.3681467,35.56609
焼鳥本山横山店,飲食業,"焼鳥、もつ鍋やサイドメニュー、アルコールなど提供し
ている居酒屋です。",横山1-1-13須藤ビル1階,042-707-4440,毎週金曜日レディースデイ開催,神奈川県相模原市中央区横山1-1-13須藤ビル1階,139.3626377,35.5699362
（有）ワタナベ電化,小売業,家電品、設備商品販施工施工,横山2-7-18,042-751-0050,NA,神奈川県相模原市中央区横山2-7-18,139.3684547,35.5679519
HairSalon結人,サービス業,理容業,横山台1-4-7,042-758-7875,NA,神奈川県相模原市中央区横山台1-4-7,139.3603848,35.5679593
LABREA,サービス業,美容業,横山台1-30-11,042-852-4580,NA,神奈川県相模原市中央区横山台1-30-11,139.3551423,35.567894
（有）岡本酒店,小売業,酒類、タバコ、他,横山台2-15-13,042-756-7530,NA,神奈川県相模原市中央区横山台2-15-13,139.3588701,35.5633611
